complexity_bucket,dataset,gen_time_s,gold_sql_exec,id,mariadb_ex,mariadb_ex_given_success,mariadb_gold_execution_time_s,mariadb_gold_success,mariadb_pred_execution_time_s,mariadb_pred_success,mysql_ex,mysql_ex_given_success,mysql_gold_execution_time_s,mysql_gold_success,mysql_pred_execution_time_s,mysql_pred_success,mysql_vs_mariadb_match,pred_both_success,pred_mariadb_only_success,pred_mysql_only_success,pred_neither_success,pred_sql,query_split,question_split,question_text,rdbms_mode,tables_in_schema_compact
simple,advising,152.7661,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 550 ;",0,,,,,,,False,False,0.404111385345459,True,0.10936832427978516,True,,False,False,False,False,SELECT * FROM COURSE WHERE course_id = 0,test,train,Can undergrads take number0 ?,mysql,12
simple,advising,87.4186,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 483 ;",1,,,,,,,,,0.047522544860839844,True,0.030002117156982422,False,,False,False,False,False,SELECT * FROM COURSE WHERE course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id = ? AND course_id =,test,train,number0 can be taken by undergrads : true or false ?,mysql,12
simple,advising,80.8196,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 592 ;",2,,,,,,,,,0.011526346206665039,True,0.05900311470031738,False,,False,False,False,False,SELECT * FROM students WHERE student_id = number0,test,train,number0 is taken by undergrads ?,mysql,12
simple,advising,83.8888,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 587 ;",3,,,,,,,False,False,0.022485733032226562,True,0.03221702575683594,True,,False,False,False,False,SELECT * FROM COURSE WHERE course_id = 0,test,train,Are undergrads able to take number0 ?,mysql,12
simple,advising,81.544,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 800 ;",4,,,,,,,,,0.018659353256225586,True,0.045972347259521484,False,,False,False,False,False,SELECT * FROM students WHERE course_id = 0 AND course_id = 1,test,exclude,Are undergrads allowed to take number0 ?,mysql,12
simple,advising,78.8,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 312 ;",5,,,,,,,False,False,0.020294189453125,True,0.030142545700073242,True,,False,False,False,False,SELECT * FROM COURSE WHERE course_id = 0 AND course_id = 1,test,test,Are undergrads eligible to take number0 ?,mysql,12
simple,advising,81.7353,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 453 ;",6,,,,,,,,,0.022299766540527344,True,0.05775260925292969,False,,False,False,False,False,SELECT * FROM students WHERE course_id = 0 AND course_id = 1,test,exclude,Are undergrads included in those who can take number0 ?,mysql,12
simple,advising,79.5637,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 699 ;",7,,,,,,,False,False,0.014574527740478516,True,0.029641389846801758,True,,False,False,False,False,SELECT * FROM COURSE WHERE course_id = 0,test,train,Are undergrads taking number0 ?,mysql,12
simple,advising,80.0142,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 504 ;",8,,,,,,,False,False,0.01496124267578125,True,0.02400040626525879,True,,False,False,False,False,SELECT * FROM COURSE WHERE course_id = 0,test,train,Are undergraduates able to take number0 ?,mysql,12
simple,advising,82.2168,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 571 ;",9,,,,,,,False,False,0.01100015640258789,True,0.01816701889038086,True,,False,False,False,False,SELECT * FROM COURSE WHERE course_id = 0,test,exclude,"As an undergrad , can I take number0 ?",mysql,12
simple,advising,81.3329,"SELECT DISTINCT COURSEalias0.ADVISORY_REQUIREMENT , COURSEalias0.ENFORCED_REQUIREMENT , COURSEalias0.NAME FROM COURSE AS COURSEalias0 WHERE COURSEalias0.DEPARTMENT = """""""" AND COURSEalias0.NUMBER = 182 ;",10,,,,,,,,,0.013768911361694336,True,0.026987314224243164,False,,False,False,False,False,SELECT * FROM students WHERE student_id = 0,test,exclude,Can number0 be taken by undergrads ?,mysql,12
